0, 10, 10
5, 20, 163
10, 37, 235
15, 55, 313
20, 82, 390
25, 122, 479
30, 162, 725
35, 219, 629
40, 269, 714
45, 332, 1133
50, 404, 878
55, 483, 946
60, 570, 1040
65, 668, 2787
70, 757, 1189
75, 875, 1250
80, 988, 1434
85, 1108, 1516
90, 1239, 1583
95, 1372, 2435
100, 1519, 2560
105, 1667, 1799
110, 1804, 1835
115, 1983, 2255
120, 2122, 2034
125, 2334, 2099
130, 2501, 2116
135, 2675, 2271
140, 2912, 2306
145, 3098, 2675
150, 3331, 3196
155, 3553, 2868
160, 3782, 4285
165, 4014, 3502
170, 4247, 2760
175, 4479, 3680
180, 4758, 3800
185, 5015, 3188
190, 5294, 3288
195, 5570, 3266
200, 5822, 3311
205, 6117, 3495
210, 6442, 3673
215, 6717, 3738
220, 7055, 3675
225, 7354, 4517
230, 7706, 4526
235, 8023, 4652
240, 8330, 3919
245, 8686, 4007
250, 9003, 4914
255, 9452, 4251
260, 9806, 4424
265, 10190, 6092
270, 10524, 4438
275, 10958, 4751
280, 11278, 5264
285, 11710, 5440
290, 12100, 6345
295, 12502, 4869
300, 12932, 5224
